family,artifact,evidence_level,model_or_data,headline_observation,deployable_payload,task_quality_metric,reproducibility,decision
full_discrete,learnable_logic core,rerun_test,"CIFAR-10 ViT code path","116 CPU tests passed; exact A8/U4 transaction and export contracts exist",transaction-level Python payload,"Historical 50k values plus active checkpoint history",source/protocol hashes published,continue_mainline
ScaleLogic,attention global plus first-four depthwise shift-add,checkpoint_history,"CIFAR-10 d12/e384/h12 seed42","validation accuracy 0.5958/0.6664/0.6830/0.6960 at 5k/10k/15k/20k",not final RTL,"active 50k run; final result unavailable",protocol hash and checkpoint history available,continue_paired_control
Hadamard_LHVM,mixer smoke,result_json,"CIFAR-10 d6/e192 seed42 1k steps","attention 0.4930; parallel 0.4742; hybrid 0.3192; LHVM 0.2666",same carrier but smoke only,smoke validation accuracy only,small result JSON and protocols published,hold_claims
FFT_weight_analysis,test.ipynb,executed_notebook,"local Llama-2-7B one 4096x4096 weight","row/column FFT plots generated; no executed numeric statistics",none,no compression or task metric,raw notebook exists but current environment is broken,retain_as_exploration
FreqKV,KV_FFT local prototype,prototype_only,"synthetic Gaussian K/V plus RoPE-like rotations","claimed 0.90/0.85 energy values are hard-coded placeholders",no compact payload,no real-model metric,no working locked environment,stop_old_implementation
FreqKV_DCT_probe,independent orthonormal DCT sanity check,rerun_test,"five synthetic white-noise seeds","energy retention tracks coefficient fraction",not_applicable,sanity metric only,CSV evidence included,use_as_claim_falsification
fourier_dot_product,fourier_trans,rerun_test,"random vectors lengths 8/16/64","current formula has errors 3.6878/23.5623/42.9224; lag0 is near 1e-6",none,no task metric,scripts contain additional runtime errors,archive_failed_attempt
order_test,local untracked addition,result_json,"synthetic Gaussian weight matrices","cosine similarity is approximately 1-shuffle_fraction; duplicate runs are byte-identical",none,no frequency or model metric,one raw JSON retained,archive_one_result
jacobfa_fft,SPECTRE/FFT snapshot,external_reference,upstream repository,not evaluated under local matched protocol,upstream implementation,none locally,exact commits recorded,compare_later
R_KV,R-KV snapshot,external_reference,upstream repository,not evaluated under local matched protocol,upstream implementation,none locally,exact commit recorded,compare_later
ShadowKV,ShadowKV snapshot,external_reference,upstream repository,not evaluated under local matched protocol,upstream implementation,none locally,exact commit plus local modification recorded,compare_later_after_patch_audit
transform_block_probe,FFT_Com NumPy implementation,rerun_test,"Llama-2-7B q_proj/down_proj layers 0/8/16/24/31 plus synthetic controls","five-seed Hadamard/FFT 3-bit Q weight error ratios are 0.619/0.605 versus identity",coefficient-domain payload only,"block MSE plus layer-0 embedding activation proxy",11 unit tests and published CSV/JSON,continue_activation_aware_model_rotation
dct_weight_sparsity,real-weight DCT probe,rerun_test,"five seeds of sampled Llama-2-7B Q blocks","DCT top-12.5% energy is 0.860x identity and low-frequency energy tracks kept fraction",structured DCT payload modeled,no model task metric,seed sweep and rate accounting published,stop_raw_channel_frequency_pruning
dct_hadamard_hybrid,sparse base plus low-bit residual,rerun_test,"synthetic smooth and sampled Llama-2-7B blocks","works on constructed smooth matrices but Q2 residual is 4.88x worse than pure Hadamard Q3 on Llama",indices/scales/value bits included,block and activation-proxy distortion only,reproducible implementation and tables,pause_until_real_low_frequency_structure
learned_butterfly,shared five-stage Givens proxy,rerun_test,"48 held/train Q subblocks per seed","training error improves but held-out error is 1.125x best randomized Hadamard over five seeds",160 shared angles priced at 16 bits,held-out block MSE,train/held-out split and search history published,do_not_claim_learned_advantage
kuramoto_offline_rotation,attractive relative-phase sanity probe,rerun_test,"16 real Q subblocks","order parameter converges to 1 and gauge-invariant paired rotation collapses to identity",angle payload not useful,quantization error ratio exactly 1,unit tests and aggregate table published,stop_naive_attractive_mapping
fft_phase_sharing,frequency-template and circular-codebook probe,rerun_test,"40 aligned Q blocks per seed","median phase concentration is about 0.20 and learned templates/codebooks give negligible phase-only gain",phase metadata included but magnitudes exact,phase-only distortion not full compression,five-seed concentration plus canonical table,pause_low_priority
